RChannel	RenergyMean	RenergyStd
194.0	23.570059018474613	0.06316351687134433
195.0	22.343548722302163	0.07126495429926263
196.0	22.485330057609733	0.07946250172361635
197.0	21.255049512452857	0.039118785296455336
198.0	21.44227229694765	0.07207194169534184
199.0	23.388969605985213	0.07123957008842484
200.0	20.896402320803496	0.04242808105727279
201.0	22.20985784840977	0.07183530550344802
202.0	22.369843568513314	0.04292949897077904
203.0	21.41313018992251	0.054744487972461356
204.0	22.567264238837797	0.07911538206441078
205.0	21.66207190552405	0.08926111460638211
206.0	20.677426411659653	0.07928167216724438
207.0	21.86450862977266	0.06109780095407946
208.0	22.236405668540645	0.07173387900145349
209.0	20.657420949286635	0.05671127939771182
210.0	22.790866808129316	0.07380403144184651
211.0	24.005809315446527	0.0883285165067527
212.0	21.995020695723117	0.06114187774419675
213.0	21.826567639890794	0.09089266657051229
214.0	21.130678947501675	0.08625222806115232
215.0	23.34110795929059	0.10231403343152153
216.0	22.147975959781018	0.07284377611163043
217.0	22.916314648627047	0.061095427441374694
218.0	22.3464087905224	0.07101820749429037
219.0	20.6400055726272	0.0473861142127315
220.0	23.14728452844469	0.07210306899860278
221.0	22.372461376554675	0.05659401013635653
222.0	23.026037051032777	0.07260220397523587
223.0	22.990634249656924	0.06664204362135719
224.0	21.409592687370605	0.05575269314564203
225.0	22.468142523497455	0.05732350094971851
226.0	22.299335164301638	0.04858648752815847
227.0	21.124418885712863	0.047010765133367806
228.0	22.674092984374425	0.050739937435810845
229.0	21.864209505686212	0.05045912180231688
230.0	22.97456812942266	0.06581229953041447
231.0	22.305546601356607	0.04702176251415469
233.0	21.815452313616547	0.07458182517303462
235.0	21.76550129582493	0.0698246636443022
242.0	23.086689284534643	0.04929673815211164
249.0	21.423859579966347	0.06114491722341502
250.0	21.318925444249214	0.06414535936915035
251.0	22.419164910256615	0.03508017662421399
253.0	21.238542336635213	0.057155986636843334
254.0	23.271022219630677	0.057785223302720776
256.0	26.921794754967227	0.11408125482137067
257.0	27.117942346405123	0.09653291331464124
258.0	29.772165129823435	0.14523372237216234
259.0	29.240088634297614	0.11759081272810341
260.0	27.375992518841493	0.1074414754781349
