init param,init param,isotope,a,err,rela,,,,,redchi,bins,,,,,,,,,,
,,C10,40958.42884,351.6803682,71.71696274,C11,16152.78624,30.79554342,28.28303726,344.284,35,,,,,,,,,,
,,C10,47689.55204,414.6932602,71.88342731,C11,18653.35038,35.4327068,28.11657269,233.728,40,,,,,,,,,,
,,C10,54297.88714,472.1715115,72.44146543,C11,20656.26628,39.25501657,27.55853457,208.945,45,,,,,,,,,,
,,C10,62761.84276,547.6778749,73.09097166,C11,23106.27656,43.96628727,26.90902834,205.239,50,,,,,,,,,,
,,,,C10,6059.946778,1.998522317,27.71389782,C11,2599.90958,1.860824302,11.89014212,C9,9360.842093,1.999999869,42.80985144,B8,3845.394934,1.99999469,17.58610862,5.246,5
,,,,C10,12701.2587,0,34.24686786,C11,5079.020617,0,13.69474885,C9,1000,0,2.696336534,B8,18307.0793,0,49.36204675,37.082,10
,,,,C10,6485.819403,0,0.067849031,C11,7533.665349,0,0.078810689,C9,1000,0,0.010461135,B8,9544172.86,0,99.84287914,142.412,15
,,,,C10,9183.429635,0,0.008614656,C11,9730.552465,0,0.009127893,C9,1000,0,0.000938065,B8,106582483.4,0,99.98131939,175.49,20
,,,,C10,26447.10462,0,0.014740373,C11,11625.89062,0,0.006479725,C9,1000,0,0.000557353,B8,179380428.9,0,99.97822255,243.89,25
,,,,C10,33826.40395,0,69.487124,C11,13833.40277,0,28.41695425,C9,1000,0,2.054227345,B8,20.29688124,0,0.041694408,349.482,30
,,,,C10,40958.4379,0,69.66487595,C11,16152.78737,0,27.4737511,C9,1000,0,1.700867502,B8,682.3020909,0,1.160505453,378.713,35
,,,,C10,47689.56398,0,70.81218972,C11,18653.35198,0,27.69756293,C9,1000,0,1.484857143,B8,3.63011608,0,0.005390204,261.226,40
,,,,C10,54297.90149,0,71.48430458,C11,20656.26825,0,27.19440219,C9,1000,0,1.316520576,B8,3.62520918,0,0.004772662,236.804,45
,,,,C10,62761.86075,0,72.24954247,C11,23106.27906,0,26.59924467,C9,1000,0,1.151169542,B8,0.037626894,0,4.33E-05,236.814,50
,,,,C10,6059.9465615172385,62.53705411162309,25.888094343351447,C11,2599.9095813789904,5.251802112802352,11.106814861098542,C9,10902.999992669933,1472205.4471763,46.57762070514529,B8,3845.381184433975,1036.3134416789778,16.427470090404704,5.246,5
,,,,C10,12701.258700112383,0.0,27.922612035647955,C11,5079.020616627392,0.0,11.165784868068963,C9,9400.0,0.0,20.665082046771346,B8,18307.079401338135,0.0,40.24652104951173,37.082,10
,,,,C10,6485.818862454053,0.0,0.06778945105030942,C11,7533.665335925858,0.0,0.07874148944793735,C9,9400.0,0.0,0.09824832505911242,B8,9544173.647129165,0.0,99.75522073444264,142.412,15
,,,,C10,9183.424941162775,0.0,0.008613968529275625,C11,9730.552561024675,0.0,0.00912716922827226,C9,9400.0,0.0,0.00881711395192593,B8,106582534.55243827,0.0,99.97344174829053,175.49,20
,,,,C10,26445.619541859294,0.0,0.01472898239059085,C11,11625.904473513492,0.0,0.006475089078326524,C9,9400.0,0.0,0.0052353636205196615,B8,179500706.62271968,0.0,99.97356056491057,243.89,25
,,,,C10,33826.404274339664,0.0,59.280930390428765,C11,13833.402738977164,0.0,24.24310246460804,C9,9400.0,0.0,16.473543600752947,B8,1.3829031645140941,0.0,0.0024235442102385277,349.482,30
,,,,C10,40958.43810251514,0.0,61.579332013064345,C11,16152.787410099654,0.0,24.285053457687685,C9,9400.0,0.0,14.132514513224557,B8,2.06192256818492,0.0,0.0031000160234062376,378.713,35
,,,,C10,47689.563811750355,0.0,59.564564333680245,C11,18653.351960328,0.0,23.29815360160573,C9,9400.0,0.0,11.740658961502966,B8,4320.73338783789,0.0,5.396623103211064,261.226,40
,,,,C10,54297.901905978084,0.0,61.92508597934393,C11,20656.268300451455,0.0,23.557838251886896,C9,9400.0,0.0,10.72041069310167,B8,3329.0377330636493,0.0,3.7966650756674984,236.804,45
,,,,C10,62761.86084093344,0.0,63.67291825552537,C11,23106.27906148571,0.0,23.44169210661434,C9,9400.0,0.0,9.536451334973464,B8,3301.020362961243,0.0,3.348938302886843,236.814,50
